country,degree
de,45450.40259167219
fr,32093.36613130628
gb,29166.19902951418
it,28006.228366830645
es,17653.97838875016
nl,15808.47856355964
ch,12596.509015171046
be,11936.416168204221
at,9813.157570568364
se,8516.70564765372
dk,7418.398106636938
no,4762.17126630483
pl,4666.464504210525
gr,4431.911011968378
cz,4330.513667260542
fi,4322.5901056287
pt,3972.001828085981
ie,3235.608349952271
hu,2107.6855690408606
lu,1560.7915693765663
sk,1178.8486439704884
si,1150.755508507528
ro,1136.2516140897887
bg,1047.6648216404146
cy,588.2104328935719
lt,423.6566811603688
ee,409.94280190708025
is,403.4307494484792
lv,315.8530835323316
li,197.8680587424417
mt,171.4788219103829
